0.13, 0, 0, 5, 0.1028533, 0, 1002.413, -2811.316, -2.961042, 0.001233003, 0.03962206, 41.79023, 0.8711591, 0.6355324, 0.2288172
 
0.14, -1, 0, 5, 0.1025115, 1.4758080587164205334376575464, 1177.781, -2814.229, -2.961042, 0.001233003, 0.03962206, 45.29931, 0.8063214, 0.6351069, 0.2291036
 
0.15, -1, -0.01, 5, 0.1021706, 1.3593121943861562356764735695, 1366.767, -2817.146, -2.961042, 0.001233003, 0.03962206, 48.79948, 0.8103055, 0.6346813, 0.22939
 
0.16, -1, -0.02, 5, 0.101828, 1.2583120769784179877884828589, 1569.22, -2820.069, -2.961042, 0.001233003, 0.03962206, 52.29004, 0.813886, 0.6342557, 0.2296764
 
0.17, -1, -0.03, 5, 0.1014837, 1.1694679021256461715164170049, 1784.985, -2822.997, -2.961042, 0.001233003, 0.03962206, 55.77046, 0.8171372, 0.6338302, 0.2299627
 
0.18, -1, -0.04, 5, 0.1011352, 1.0902868710333355863215877604, 2013.908, -2825.93, -2.961042, 0.001233003, 0.03962206, 59.24029, 0.8201185, 0.6334046, 0.2302491
 
0.19, -1, -0.05, 5, 0.1007875, 1.0188747662989880091421264209, 2255.831, -2828.869, -2.961042, 0.001233003, 0.03962206, 62.69918, 0.8228777, 0.6329791, 0.2305355
 
0.2, -1, -0.05999999, 5, 0.1004369, 0.9537648122357013783058750764, 2510.594, -2831.813, -2.961042, 0.001233003, 0.03962206, 66.14677, 0.8254535, 0.6325535, 0.2308218
 
0.21, -1, -0.06999999, 5, 0.1002349, 0.8938054833065140403587972706, 2778.88, -2834.762, -2.961042, 0.001233003, 0.03962206, 69.59336, 0.8278779, 0.6321279, 0.2311082
 
0.22, -0.9838054, -0.07999999, 5, 0.1001785, 0.8379521483596572118964562510, 3060.655, -2837.716, -2.961042, 0.001233003, 0.03962206, 73.03873, 0.8301829, 0.6317024, 0.2313946
 
0.23, -0.8826179, -0.08983804, 5, 0.1001213, 0.7855123708313891128001768369, 3355.884, -2840.676, -2.961042, 0.001233003, 0.03962206, 76.48273, 0.8323891, 0.6312768, 0.231681
 
0.24, -0.7929953, -0.09866422, 5, 0.1000649, 0.7359939204143315437993914151, 3664.536, -2843.641, -2.961042, 0.001233003, 0.03962206, 79.92522, 0.8345107, 0.6308513, 0.2319673
 
0.25, -0.7112575, -0.1065942, 5, 0.1000078, 0.6890458249467134653047204904, 3986.571, -2846.61, -2.961042, 0.001233003, 0.03962206, 83.36604, 0.8365576, 0.6304257, 0.2322537
 
0.26, -0.6345646, -0.1137068, 5, 0.09994871, 0.6443814933831299375449807794, 4321.95, -2849.586, -2.961042, 0.001233003, 0.03962206, 86.80507, 0.8385376, 0.6300001, 0.2325401
 
0.27, -0.5607275, -0.1200524, 5, 0.09989027, 0.6017640466794067183947982913, 4670.634, -2852.567, -2.961042, 0.001233003, 0.03962206, 90.24217, 0.8404572, 0.6295745, 0.2328265
 
0.28, -0.4880948, -0.1256597, 5, 0.09982986, 0.5610018355630059291657410582, 5032.577, -2855.552, -2.961042, 0.001233003, 0.03962206, 93.67721, 0.8423218, 0.629149, 0.2331128
 
0.29, -0.4154427, -0.1305406, 5, 0.09977009, 0.5219387969480572279945475158, 5407.735, -2858.544, -2.961042, 0.001233003, 0.03962206, 97.11005, 0.8441352, 0.6287234, 0.2333992
 
0.3, -0.3419126, -0.1346951, 5, 0.09970964, 0.4844510583068780768069543555, 5796.068, -2861.54, -2.961042, 0.001233003, 0.03962206, 100.5406, 0.8459005, 0.6282979, 0.2336856
 
0.31, -0.266963, -0.1381142, 5, 0.09964727, 0.4484438136917454935466973019, 6197.524, -2864.542, -2.961042, 0.001233003, 0.03962206, 103.9688, 0.8476196, 0.6278723, 0.233972
 
0.32, -0.1902945, -0.1407838, 5, 0.09958548, 0.4138431742264971540896964613, 6612.06, -2867.548, -2.961042, 0.001233003, 0.03962206, 107.3945, 0.8492937, 0.6274468, 0.2342583
 
0.33, -0.1118671, -0.1426868, 5, 0.09952306, 0.3805991562596101279829683333, 7039.621, -2870.561, -2.961042, 0.001233003, 0.03962206, 110.8176, 0.8509231, 0.6270212, 0.2345447
 
0.3399999, -0.03185918, -0.1438054, 5, 0.09945864, 0.3486809274843088784229841626, 7480.154, -2873.578, -2.961042, 0.001233003, 0.03962206, 114.2379, 0.852507, 0.6265957, 0.2348311
 
0.3499999, 0.04938607, -0.144124, 5, 0.09939487, 0.3180689290804246406920284269, 7933.608, -2876.601, -2.961042, 0.001233003, 0.03962206, 117.6554, 0.8540444, 0.6261701, 0.2351175
 
